Year,County,Age,Total Population
2024,Borden,06 Years,4
2024,Borden,07 Years,5
2024,Borden,08 Years,6
2024,Borden,09 Years,3
2024,Borden,10 Years,16
2024,Borden,11 Years,11
2024,Borden,12 Years,2
2024,Borden,13 Years,9
2024,Borden,14 Years,7
2024,Borden,15 Years,12
2024,Borden,16 Years,7
2024,Borden,17 Years,12
2024,Borden,18 Years,8
2024,Borden,19 Years,14
2024,Borden,20 Years,13
2024,Borden,21 Years,12
2024,Borden,22 Years,7
2024,Borden,23 Years,7
2024,Borden,24 Years,4
2024,Borden,25 Years,8
2024,Borden,26 Years,3
2024,Borden,27 Years,2
2024,Borden,28 Years,1
2024,Borden,29 Years,3
2024,Borden,30 Years,4
2024,Borden,31 Years,3
2024,Borden,32 Years,6
2024,Borden,33 Years,3
2024,Borden,34 Years,11
2024,Borden,35 Years,10
2024,Borden,36 Years,7
2024,Borden,37 Years,3
2024,Borden,38 Years,6
2024,Borden,39 Years,5
2024,Borden,40 Years,4
2024,Borden,41 Years,9
2024,Borden,42 Years,13
2024,Borden,43 Years,3
2024,Borden,44 Years,7
2024,Borden,45 Years,5
2024,Borden,46 Years,7
2024,Borden,47 Years,2
2024,Borden,48 Years,6
2024,Borden,49 Years,4
2024,Borden,50 Years,5
2024,Borden,51 Years,14
2024,Borden,52 Years,5
2024,Borden,53 Years,10
2024,Borden,54 Years,8
2024,Borden,55 Years,18
2024,Borden,56 Years,10
2024,Borden,57 Years,13
2024,Borden,58 Years,5
2024,Borden,59 Years,4
2024,Borden,60 Years,12
2024,Borden,61 Years,9
2024,Borden,62 Years,9
2024,Borden,63 Years,9
2024,Borden,64 Years,11
2024,Borden,65 Years,9
2024,Borden,66 Years,2
2024,Borden,67 Years,17
2024,Borden,68 Years,11
2024,Borden,69 Years,13
2024,Borden,70 Years,4
2024,Borden,71 Years,5
2024,Borden,72 Years,3
2024,Borden,73 Years,19
2024,Borden,74 Years,10
2024,Borden,75 Years,2
2024,Borden,76 Years,6
2024,Borden,77 Years,5
2024,Borden,78 Years,1
2024,Borden,79 Years,10
2024,Borden,80 Years,3
2024,Borden,81 Years,7
2024,Borden,82 Years,1
2024,Borden,83 Years,3
2024,Borden,84 Years,4
2024,Borden,85 Years,4
2024,Borden,86 Years,2
2024,Borden,87 Years,5
2024,Borden,88 Years,1
2024,Borden,89 Years,0
2024,Borden,90 Years,2
2024,Borden,91 Years,0
2024,Borden,92 Years,1
2024,Borden,93 Years,1
2024,Borden,94 Years,5
2024,Borden,95+ Years,1
2024,Brewster,< 01 Year,75
2024,Brewster,01 Years,74
2024,Brewster,02 Years,79
2024,Brewster,03 Years,78
2024,Brewster,04 Years,77
2024,Brewster,05 Years,74
2024,Brewster,06 Years,77
2024,Brewster,07 Years,93
2024,Brewster,08 Years,81
2024,Brewster,09 Years,117
2024,Brewster,10 Years,83
2024,Brewster,11 Years,100
2024,Brewster,12 Years,73
2024,Brewster,13 Years,70
2024,Brewster,14 Years,115
2024,Brewster,15 Years,114
2024,Brewster,16 Years,129
2024,Brewster,17 Years,112
2024,Brewster,18 Years,131
2024,Brewster,19 Years,197
2024,Brewster,20 Years,138
2024,Brewster,21 Years,119
2024,Brewster,22 Years,158
2024,Brewster,23 Years,137
2024,Brewster,24 Years,130
2024,Brewster,25 Years,121
2024,Brewster,26 Years,130
2024,Brewster,27 Years,108
2024,Brewster,28 Years,132
2024,Brewster,29 Years,103
2024,Brewster,30 Years,87
2024,Brewster,31 Years,81
2024,Brewster,32 Years,111
2024,Brewster,33 Years,110
2024,Brewster,34 Years,83
2024,Brewster,35 Years,99
2024,Brewster,36 Years,107
2024,Brewster,37 Years,133
2024,Brewster,38 Years,104
2024,Brewster,39 Years,144
2024,Brewster,40 Years,147
2024,Brewster,41 Years,108
2024,Brewster,42 Years,103
2024,Brewster,43 Years,74
2024,Brewster,44 Years,110
2024,Brewster,45 Years,103
2024,Brewster,46 Years,124
2024,Brewster,47 Years,92
2024,Brewster,48 Years,86
2024,Brewster,49 Years,122
2024,Brewster,50 Years,72
2024,Brewster,51 Years,109
2024,Brewster,52 Years,102
2024,Brewster,53 Years,98
2024,Brewster,54 Years,122
2024,Brewster,55 Years,104
2024,Brewster,56 Years,89
2024,Brewster,57 Years,102
2024,Brewster,58 Years,105
2024,Brewster,59 Years,84
2024,Brewster,60 Years,98
2024,Brewster,61 Years,122
2024,Brewster,62 Years,109
2024,Brewster,63 Years,155
2024,Brewster,64 Years,156
2024,Brewster,65 Years,129
2024,Brewster,66 Years,176
2024,Brewster,67 Years,158
2024,Brewster,68 Years,82
2024,Brewster,69 Years,120
2024,Brewster,70 Years,152
2024,Brewster,71 Years,121
2024,Brewster,72 Years,141
2024,Brewster,73 Years,128
2024,Brewster,74 Years,128
2024,Brewster,75 Years,127
2024,Brewster,76 Years,104
2024,Brewster,77 Years,139
2024,Brewster,78 Years,87
2024,Brewster,79 Years,102
2024,Brewster,80 Years,59
2024,Brewster,81 Years,66
2024,Brewster,82 Years,49
2024,Brewster,83 Years,83
2024,Brewster,84 Years,53
2024,Brewster,85 Years,41
2024,Brewster,86 Years,30
2024,Brewster,87 Years,28
2024,Brewster,88 Years,29
2024,Brewster,89 Years,22
2024,Brewster,90 Years,20
2024,Brewster,91 Years,11
2024,Brewster,92 Years,11
2024,Brewster,93 Years,15
2024,Brewster,94 Years,13
2024,Brewster,95+ Years,29
2024,Brown,< 01 Year,382
2024,Brown,01 Years,402
2024,Brown,02 Years,414
2024,Brown,03 Years,415
2024,Brown,04 Years,400
2024,Brown,05 Years,366
